Level,Triangles,Error,Improve_%,Efficiency
0,20,2.4805021344239857,,
1,80,0.6201255336059964,75.0,0.03100627668029982
2,320,0.1550313834014991,75.0,0.0019378922925187387
3,1280,0.03875784585037478,75.0,0.00012111826828242117
4,5120,0.009689461462593694,75.0,7.569891767651323e-06
5,20480,0.0024223653656484235,75.0,4.731182354782077e-07
6,81920,0.0006055913414121059,75.0,2.956988971738798e-08
7,327680,0.00015139783535302647,75.0,1.8481181073367488e-09
